"","agree_rate","agree_vote","disagree_vote","valid_vote","vote_rate","is_municipality","is_offshoreIsland","location","gender_ratio","young_ratio","middle_ratio","old_ratio","young_old_ratio","age_med","married_ratio","college_ratio","salary_med"
"屏東縣林邊鄉",0.298274549606699,2351,5531,7882,0.557134663182716,"0","0","county",1.05035877364644,0.190570119623314,0.579791295495037,0.229638584881649,0.829869770019396,49,0.683129100136155,0.234434954821141,705
"屏東縣竹田鄉",0.309460317460317,2437,5438,7875,0.569269849540806,"0","0","county",1.13955431754875,0.191055852102591,0.584689493555527,0.224254654341883,0.851959361393324,50,0.675285171102662,0.265019011406844,709
"屏東縣新埤鄉",0.289118921521425,1201,2953,4154,0.504926381047271,"0","0","county",1.13374291115312,0.183720930232558,0.588039867109635,0.228239202657807,0.804949053857351,51,0.689543541599223,0.181396352649185,661
"屏東縣麟洛鄉",0.316526610644258,1695,3660,5355,0.57432296890672,"0","0","county",1.06385616862988,0.192950836086913,0.591168519074797,0.21588064483829,0.89378478664193,50,0.671368400430992,0.349397590361446,775
"屏東縣枋山鄉",0.303111111111111,682,1568,2250,0.507001647446458,"0","0","county",1.1209221400609,0.1915504511895,0.601927809680066,0.206521739130435,0.927507447864945,49,0.683718152866242,0.152667197452229,735
"屏東縣屏東市",0.312534196342301,26847,59054,85901,0.531983919881515,"0","0","county",0.957727539163516,0.208734501221116,0.612424854405411,0.178840644373474,1.16715359616584,47,0.637449273390918,0.392884672062391,808
"屏東縣瑪家鄉",0.255862273671713,862,2507,3369,0.630054741303196,"0","0","county",1.00388829975256,0.22331980949021,0.643852531310637,0.132827659199153,1.68127490039841,45,0.641836734693878,0.170918367346939,659
"屏東縣高樹鄉",0.320234113712375,3064,6504,9568,0.492464395999447,"0","0","county",1.15023752969121,0.168047500690417,0.57184939703581,0.260103102273773,0.646080339762874,52,0.700651436730323,0.181956094949134,659
"屏東縣獅子鄉",0.235267245317497,515,1674,2189,0.54113475177305,"0","0","county",1.05825242718447,0.228301886792453,0.639858490566038,0.131839622641509,1.73166368515206,46,0.678020713463751,0.142002301495972,684
"屏東縣琉球鄉",0.241199182375653,1062,3341,4403,0.443489631982066,"0","0","county",1.24272860431053,0.188001492815824,0.636499346893077,0.175499160291099,1.07123870281765,46,0.692563917897011,0.186712279438243,695
"屏東縣泰武鄉",0.244668476153548,631,1948,2579,0.646178637200737,"0","0","county",1.08241494968855,0.244362632305568,0.632535664979291,0.12310170271514,1.98504672897196,44,0.661572535991141,0.150166112956811,657
"屏東縣霧臺鄉",0.242815249266862,414,1291,1705,0.615593220338983,"0","0","county",1.02400548696845,0.217214503558116,0.624534056252118,0.158251440189766,1.37259100642398,47,0.660904255319149,0.190159574468085,663
"屏東縣滿州鄉",0.309166957127919,887,1982,2869,0.427282819872329,"0","0","county",1.18991188088727,0.192451782988761,0.612460108228112,0.195088108783128,0.986486486486486,50,0.675679347826087,0.156657608695652,642
"屏東縣車城鄉",0.335994446372787,968,1913,2881,0.414351547070441,"0","0","county",1.16961736150771,0.169781521453014,0.593445643590419,0.236772834956568,0.717065036131184,51,0.677357526194736,0.167646307181191,637
"屏東縣恆春鎮",0.320386627649198,3613,7664,11277,0.470090799267371,"0","0","county",1.04678409181478,0.213698843502979,0.614384175071064,0.171916981425957,1.24303510758777,46,0.667997909823828,0.216146610928635,739
"屏東縣枋寮鄉",0.287971558364606,2916,7210,10126,0.530242123959989,"0","0","county",1.09090909090909,0.19010076506811,0.592787833551036,0.217111401380855,0.87559088955737,49,0.677458738412842,0.203572236038888,684
"屏東縣鹽埔鄉",0.30316826163709,3263,7500,10763,0.519730381215963,"0","0","county",1.07959922070693,0.213195931477516,0.597921127765881,0.188882940756602,1.12871988663203,47,0.662489233419466,0.220456503014643,668
"屏東縣新園鄉",0.300040905372239,4401,10267,14668,0.527681886276298,"0","0","county",1.07110632280654,0.215196046556993,0.598641003966448,0.186162949476559,1.15595529165211,46,0.660754716981132,0.229528301886792,694
